::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient,::,whos_plot_color_gradient
0.025326797,0.371978462,0.025326797,0.371978462,0.025326797,0.371978462,0.025326797,0.371978462,0.025326797,0.371978462,0.025326797,0.371978462
0.025599129,0.30102149,0.025599129,0.30102149,0.025599129,0.30102149,0.025599129,0.30102149,0.025599129,0.30102149,0.025599129,0.30102149
0.02587146,0.558562935,0.02587146,0.558562935,0.02587146,0.558562935,0.02587146,0.558562935,0.02587146,0.558562935,0.02587146,0.558562935
0.026143791,0.487605963,0.026143791,0.487605963,0.026143791,0.487605963,0.026143791,0.487605963,0.026143791,0.487605963,0.026143791,0.487605963
0.026416122,0.505292182,0.026416122,0.505292182,0.026416122,0.505292182,0.026416122,0.505292182,0.026416122,0.505292182,0.026416122,0.505292182
0.026688453,0.645776175,0.026688453,0.645776175,0.026688453,0.645776175,0.026688453,0.645776175,0.026688453,0.645776175,0.026688453,0.645776175
0.026960784,0.30102149,0.026960784,0.30102149,0.026960784,0.30102149,0.026960784,0.30102149,0.026960784,0.30102149,0.026960784,0.30102149
0.027233115,0.487605963,0.027233115,0.487605963,0.027233115,0.487605963,0.027233115,0.487605963,0.027233115,0.487605963,0.027233115,0.487605963
0.027505447,0.523662587,0.027505447,0.523662587,0.027505447,0.523662587,0.027505447,0.523662587,0.027505447,0.523662587,0.027505447,0.523662587
0.027777778,0.776483145,0.027777778,0.776483145,0.027777778,0.776483145,0.027777778,0.776483145,0.027777778,0.776483145,0.027777778,0.776483145
0.028050109,0.525448313,0.028050109,0.525448313,0.028050109,0.525448313,0.028050109,0.525448313,0.028050109,0.525448313,0.028050109,0.525448313
0.02832244,0.505292182,0.02832244,0.505292182,0.02832244,0.505292182,0.02832244,0.505292182,0.02832244,0.505292182,0.02832244,0.505292182
0.028594771,0.594619558,0.028594771,0.594619558,0.028594771,0.594619558,0.028594771,0.594619558,0.028594771,0.594619558,0.028594771,0.594619558
0.028867102,0.525448313,0.028867102,0.525448313,0.028867102,0.525448313,0.028867102,0.525448313,0.028867102,0.525448313,0.028867102,0.525448313
0.029139434,0.523662587,0.029139434,0.523662587,0.029139434,0.523662587,0.029139434,0.523662587,0.029139434,0.523662587,0.029139434,0.523662587
0.029411765,0.30102149,0.029411765,0.30102149,0.029411765,0.30102149,0.029411765,0.30102149,0.029411765,0.30102149,0.029411765,0.30102149
0.029684096,0.30102149,0.029684096,0.30102149,0.029684096,0.30102149,0.029684096,0.30102149,0.029684096,0.30102149,0.029684096,0.30102149
0.029956427,0.574005022,0.029956427,0.574005022,0.029956427,0.574005022,0.029956427,0.574005022,0.029956427,0.574005022,0.029956427,0.574005022
0.030228758,0.740426522,0.030228758,0.740426522,0.030228758,0.740426522,0.030228758,0.740426522,0.030228758,0.740426522,0.030228758,0.740426522
0.030501089,0.624190094,0.030501089,0.624190094,0.030501089,0.624190094,0.030501089,0.624190094,0.030501089,0.624190094,0.030501089,0.624190094
0.03077342,0.624190094,0.03077342,0.624190094,0.03077342,0.624190094,0.03077342,0.624190094,0.03077342,0.624190094,0.03077342,0.624190094
0.031045752,0.446794245,0.031045752,0.446794245,0.031045752,0.446794245,0.031045752,0.446794245,0.031045752,0.446794245,0.031045752,0.446794245
0.031318083,0.64927921,0.031318083,0.64927921,0.031318083,0.64927921,0.031318083,0.64927921,0.031318083,0.64927921,0.031318083,0.64927921
0.031590414,0.559944991,0.031590414,0.559944991,0.031590414,0.559944991,0.031590414,0.559944991,0.031590414,0.559944991,0.031590414,0.559944991
0.031862745,0.355879556,0.031862745,0.355879556,0.031862745,0.355879556,0.031862745,0.355879556,0.031862745,0.355879556,0.031862745,0.355879556
0.032135076,0.458165423,0.032135076,0.458165423,0.032135076,0.458165423,0.032135076,0.458165423,0.032135076,0.458165423,0.032135076,0.458165423
0.032407407,0.867226787,0.032407407,0.867226787,0.032407407,0.867226787,0.032407407,0.867226787,0.032407407,0.867226787,0.032407407,0.867226787
0.032679739,0.610253217,0.032679739,0.610253217,0.032679739,0.610253217,0.032679739,0.610253217,0.032679739,0.610253217,0.032679739,0.610253217
0.03295207,0.613215744,0.03295207,0.613215744,0.03295207,0.613215744,0.03295207,0.613215744,0.03295207,0.613215744,0.03295207,0.613215744
0.033224401,0.529368701,0.033224401,0.529368701,0.033224401,0.529368701,0.033224401,0.529368701,0.033224401,0.529368701,0.033224401,0.529368701
0.033496732,0.64927921,0.033496732,0.64927921,0.033496732,0.64927921,0.033496732,0.64927921,0.033496732,0.64927921,0.033496732,0.64927921
0.033769063,0.489193276,0.033769063,0.489193276,0.033769063,0.489193276,0.033769063,0.489193276,0.033769063,0.489193276,0.033769063,0.489193276
0.034041394,0.503869074,0.034041394,0.503869074,0.034041394,0.503869074,0.034041394,0.503869074,0.034041394,0.503869074,0.034041394,0.503869074
0.034313725,0.490883216,0.034313725,0.490883216,0.034313725,0.490883216,0.034313725,0.490883216,0.034313725,0.490883216,0.034313725,0.490883216
0.034586057,0.458165423,0.034586057,0.458165423,0.034586057,0.458165423,0.034586057,0.458165423,0.034586057,0.458165423,0.034586057,0.458165423
0.034858388,0.355879556,0.034858388,0.355879556,0.034858388,0.355879556,0.034858388,0.355879556,0.034858388,0.355879556,0.034858388,0.355879556
0.035130719,0.503869074,0.035130719,0.503869074,0.035130719,0.503869074,0.035130719,0.503869074,0.035130719,0.503869074,0.035130719,0.503869074
0.03540305,0.489193276,0.03540305,0.489193276,0.03540305,0.489193276,0.03540305,0.489193276,0.03540305,0.489193276,0.03540305,0.489193276
0.035675381,0.610102696,0.035675381,0.610102696,0.035675381,0.610102696,0.035675381,0.610102696,0.035675381,0.610102696,0.035675381,0.610102696
0.035947712,0.489781676,0.035947712,0.489781676,0.035947712,0.489781676,0.035947712,0.489781676,0.035947712,0.489781676,0.035947712,0.489781676
0.036220044,0.434499415,0.036220044,0.434499415,0.036220044,0.434499415,0.036220044,0.434499415,0.036220044,0.434499415,0.036220044,0.434499415
0.036492375,0.459704842,0.036492375,0.459704842,0.036492375,0.459704842,0.036492375,0.459704842,0.036492375,0.459704842,0.036492375,0.459704842
0.036764706,0.646289315,0.036764706,0.646289315,0.036764706,0.646289315,0.036764706,0.646289315,0.036764706,0.646289315,0.036764706,0.646289315
0.037037037,0.760042146,0.037037037,0.760042146,0.037037037,0.760042146,0.037037037,0.760042146,0.037037037,0.760042146,0.037037037,0.760042146
0.037309368,0.502705957,0.037309368,0.502705957,0.037309368,0.502705957,0.037309368,0.502705957,0.037309368,0.502705957,0.037309368,0.502705957
0.037581699,0.593620646,0.037581699,0.593620646,0.037581699,0.593620646,0.037581699,0.593620646,0.037581699,0.593620646,0.037581699,0.593620646
